Roza2019_VCF_ID,yi_may,yi_jun,yi_jul,yi_aug,yi_sep,yi_hrv,yi_2020,yi_2021,yi_2022,yi_2023,yi_year,PC1,PC2,PC3
223_S155_R1_001,0.741486421375185,0.584493020550965,0.579703360189343,0.529079440938747,0.411238244951925,0.568404293649864,0.602920697527064,0.467094181350489,0.632104867081887,0.58819585574556,0.57250831767135,-6.36623920238694,-29.2441942612392,-6.168273090404
224_S166_R1_001,0.847375420220031,0.630512297085221,0.589881334682959,0.570564115526755,0.454654295698774,0.61499556316312,0.658504018168502,0.512182211328999,0.677154603957509,0.626967643404656,0.622689641271874,2.02310080382258,-54.2980305193326,23.2302410508012
225_S178_R1_001,0.816310007431672,0.601721487936618,0.558448736267406,0.538127576388311,0.435244266534906,0.585991890237172,0.648229946371864,0.468627825692181,0.627981584263756,0.612909706723458,0.59233618454113,-16.2985956141072,-70.3419182335653,-20.2385779947164
226_S190_R1_001,0.676788359250142,0.556201646766048,0.545794457285462,0.472829740283066,0.384063177696392,0.526769888232106,0.575485729967038,0.434986013153747,0.561836017252444,0.545538800891053,0.532566372956933,-31.8988219926796,-91.6272261762124,-34.6167105538246
227_S202_R1_001,0.75618708582432,0.613132869414264,0.588811324712546,0.534460289988738,0.448218037295825,0.58660185032348,0.615388694723209,0.507348377242156,0.620894022812631,0.615392963686319,0.592798101028021,-25.2438078244114,-55.1391734793818,-20.0563749673382
229_S214_R1_001,0.738413511694904,0.616909374879352,0.574188692887105,0.626223952264652,0.560956790245852,0.620411054774818,0.746203160524832,0.468954906507189,0.713842873389826,0.559059289306823,0.630737267424341,17.4549740990972,1.85187629206434,-63.2416576535649
230_S503_R1_001,0.84209948569433,0.681776672230244,0.654175437523216,0.59149156258212,0.476757995881843,0.648130396337269,0.715905676504745,0.53833324481536,0.696386107161267,0.65240202470631,0.661968423963263,24.015079948087,31.0271516321467,-59.2191982781515
231_S144_R1_001,0.752283510667825,0.560863551941365,0.585069762103637,0.544624132221465,0.445251948443104,0.575268675688814,0.637290408577885,0.45530412686571,0.672678350122526,0.550287521172646,0.585858628914687,35.8047646898311,13.2910371611559,-26.4382616690608
232_S156_R1_001,0.768600180182708,0.585186412354302,0.592309241486408,0.576752329537819,0.461080540747856,0.594779672016989,0.649899475438996,0.485492722555026,0.644082560449755,0.613185716134169,0.600434107681675,26.4121896452888,8.62583931736481,-40.2243507680777
233_S167_R1_001,0.897954838606622,0.702922694171016,0.719541204799542,0.701595651776239,0.518518252687082,0.708092082048239,0.770381145232796,0.580965791756626,0.72910764058505,0.768123057395248,0.710809059635839,19.0417421410666,-6.64467339137368,-27.7917079681876
234_S179_R1_001,0.74600241283808,0.562183609484511,0.550428213204216,0.525954708459198,0.415225154301538,0.557663823667254,0.630312276944593,0.449872500341473,0.579995806253597,0.579260428641459,0.567658583198697,-22.1648211245782,-53.5389872079166,-24.4138561449868
235_S191_R1_001,0.807255931574741,0.592813181222887,0.618850745827061,0.535658722771613,0.446369413674173,0.597231479724054,0.647777779872493,0.496193382571002,0.646448396367814,0.611129309336066,0.60419280778098,-0.262122789969144,-21.4260184909718,-31.6279556110703
236_S203_R1_001,0.665139361526903,0.519849955348816,0.535134401815462,0.468361237024058,0.389773254582594,0.514340012504546,0.551973537112559,0.426308642282238,0.560061020892181,0.531616311134782,0.51798675403748,-1.71507471969282,31.6097956044183,6.37134157524699
