Name_Field,gen,Repeated,VCF
1608-14_S455_R1_001,1608-14,NR,SM:1608-14_S455_R1_001
1608-15_S52_R1_001,1608-15,NR,SM:1608-15_S52_R1_001
1608-19_S443_R1_001,1608-19,NR,SM:1608-19_S443_R1_001
1608-23_S467_R1_001,1608-23,NR,SM:1608-23_S467_R1_001
1608-24_S478_R1_001,1608-24,NR,SM:1608-24_S478_R1_001
160_S126_R1_001,160,NR,SM:160_S126_R1_001
1613-02_S465_R1_001,1613-02,NR,SM:1613-02_S465_R1_001
1613-08_S419_R1_001,1613-08,NR,SM:1613-08_S419_R1_001
1613-10_S477_R1_001,1613-10,NR,SM:1613-10_S477_R1_001
1613-11_S489_R1_001,1613-11,NR,SM:1613-11_S489_R1_001
1613-12_S430_R1_001,1613-12,NR,SM:1613-12_S430_R1_001
1613-20_S454_R1_001,1613-20,NR,SM:1613-20_S454_R1_001
1613-21_S418_R1_001,1613-21,NR,SM:1613-21_S418_R1_001
1613-22_S466_R1_001,1613-22,NR,SM:1613-22_S466_R1_001
1613-23_S442_R1_001,1613-23,NR,SM:1613-23_S442_R1_001
1613-29_H07_S501_R1_001,1613-29_H07,R,SM:1613-29_H07_S501_R1_001
1613-29_S500_R1_001,1613-29,R,SM:1613-29_S500_R1_001
161_S44_R1_001,161,NR,SM:161_S44_R1_001
1622-12B_S490_R1_001,1622-12B,NR,SM:1622-12B_S490_R1_001
163_S56_R1_001,163,NR,SM:163_S56_R1_001
164_S68_R1_001,164,NR,SM:164_S68_R1_001
166B_S450_R1_001,166B,NR,SM:166B_S450_R1_001
166_S80_R1_001,166,NR,SM:166_S80_R1_001
168_S92_R1_001,168,NR,SM:168_S92_R1_001
169_S10_R1_001,169,NR,SM:169_S10_R1_001
16_S28_R1_001,16,NR,SM:16_S28_R1_001
170B_S462_R1_001,170B,NR,SM:170B_S462_R1_001
170_S115_R1_001,170,NR,SM:170_S115_R1_001
172A_S474_R1_001,172A,NR,SM:172A_S474_R1_001
172_S127_R1_001,172,NR,SM:172_S127_R1_001
173_S45_R1_001,173,NR,SM:173_S45_R1_001
175_S57_R1_001,175,NR,SM:175_S57_R1_001
176_S69_R1_001,176,NR,SM:176_S69_R1_001
178_S81_R1_001,178,NR,SM:178_S81_R1_001
17_S480_R1_001,17,NR,SM:17_S480_R1_001
180B_S486_R1_001,180B,NR,SM:180B_S486_R1_001
183_S93_R1_001,183,NR,SM:183_S93_R1_001
