general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA,fastp
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,190,4374486,4374486,34.9,0.19,57.05,0.15,40,101,2000000,0,7.06,0,89.56,0,0,0,0.15,0.1,3.13,4626742
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,191,4774491,4774491,34.6,0.08,56.75,0.06,40,101,2000000,0,7.81,0,88.82,0.01,0,0,0.05,0.05,3.26,4489401
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,193,4629413,4629413,34.5,0.11,55.59,0.06,41,101,2000000,0,8.01,0,87.24,0,0,0,0.16,0.02,4.57,4098880
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,194,4491217,4491217,35.7,0.11,53.14,0.07,41,101,2000000,0,4.58,0,88.69,0,0,0,0.1,0.08,6.55,4429483
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,195,4100531,4100531,35.8,0.27,49.25,0.19,41,101,2000000,0,16.87,0,79.43,0.01,0,0,0.26,0.07,3.36,4102666
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,196,4431403,4431403,35.6,0.19,50.71,0.1,41,101,2000000,0,10.04,0,85.69,0,0,0,0.02,0.11,4.14,4836535
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,198,4104025,4104025,36,0.15,48.89,0.08,41,101,2000000,0,11.66,0,84.02,0,0,0,0.15,0.02,4.15,6315447
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,199,4838306,4838306,35.9,0.21,50.09,0.14,40,101,2000000,0.01,14.19,0,82.79,0,0,0,0.11,0.04,2.86,3286951
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,2,3125752,3125752,33.5,0.02,50.26,0.01,41,101,2000000,0,14.95,0,81.68,0,0,0,0.03,0.12,3.22,3577018
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,20,6174934,6174934,35.9,0.23,52.98,0.15,40,101,2000000,0,7.91,0,88.47,0,0,0,0.15,0.01,3.46,4089455
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,200,4106394,4106394,35.3,0.51,53.53,0.49,40,101,2000000,0.02,13.29,0,83.77,0,0.01,0,0.05,0.13,2.73,3493726
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,200B,3579192,3579192,34.7,0.17,48.87,0.11,42,101,2000000,0,9.09,0,88.23,0,0,0,0.03,0.1,2.55,4117002
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,201,4118553,4118553,35.8,0.35,51.99,0.29,40,101,2000000,0.03,11.73,0,84.91,0,0,0,0.09,0.04,3.2,3061566
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,201A,3495008,3495008,36,0.1,47.46,0.06,40,101,2000000,0,7.86,0,90.35,0,0,0,0.02,0.14,1.63,3337034
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,202B,3062599,3062599,35.9,0.13,48.4,0.08,40,101,2000000,0,5.72,0,92.24,0,0,0.01,0.01,0.11,1.91,2838753
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,203A,3338905,3338905,34.7,0.18,50.52,0.14,41,101,2000000,0,6.92,0,89.4,0,0,0,0.04,0.15,3.49,2978799
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,203B,2839800,2839800,36,0.12,47.93,0.07,42,101,2000000,0,3.5,0,91.16,0,0,0,0.03,0.15,5.16,4207843
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,204,4216362,4216362,35.9,0.26,52.72,0.2,40,101,2000000,0.01,13.79,0,83.58,0,0,0,0.23,0.03,2.36,162640
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,204B,2980441,2980441,35.1,0.25,49.58,0.19,41,101,2000000,0,11.67,0,84.92,0,0,0.01,0.12,0.01,3.27,3760194
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,205A,395214,395214,31.2,64.59,13.23,74.5,58,101,395214,0,0.3,0,39,0.03,0,0,1.23,0.26,59.18,3119625
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,206,3762962,3762962,33.9,0.03,58.25,0.01,40,101,2000000,0,7.41,0,89.59,0,0,0,0.06,0.04,2.9,3175861
